Titel,Ondertitel,Description1,Description2,Genre,ID,Planning ID
Ricky Seabra & Dirk Verstockt,Koyaanisqatsi - The Performance,"Deze voorstelling maakt deel uit van ABO 4 – Internationale kleppers.
\
“Een lichtvoetige, intelligente voorstelling. Nochtans doet Seabra niet veel meer dan beelden van tv, films en internet samenbrengen, voor zover ze bij zijn onderwerp passen. Een beetje zoals Michael Moore. Maar Seabra heeft minder de behoefte om zijn toeschouwers te overtuigen. Moore redeneert met de hamer – dat heeft zijn verdienste – en Seabra met de knipoog.”
\
(De Standaard over ‘Empire – love to love you, baby’, een vroegere voorstelling van Ricky Seabra)
\
Koyaanisqatsi. Koyaaniswatski? 
\
‘Koyaanisqatsi – Life out of balance’ is een cultklassieker uit de jaren ‘80 met een hypnotiserende soundtrack van componist Philip Glass. Met versnelde en vertraagde beelden van o.a. drukke straten, gehaaste mensen, instortende gebouwen, voorbijrazende auto’s, skylines met wolkenkrabbers en dreigende donderwolken, stelde Koyaanisqatsi de relatie tussen mens, natuur en technologie in vraag. De film zorgde destijds voor nogal wat ophef en vormt nu nog steeds een inspiratiebron voor hedendaagse artiesten: muzikant Sufjan Stevens haalde er de mosterd voor zijn film ‘The BQE’, maar ook videoclips van Madonna en zelfs The Spice Girls verwijzen naar de film. Maar hoe breng je als theatermaker een woordenloze film op scène? En kan je in deze tijden nog om de ecologische boodschap van de film heen? Seabra en Verstockt brouwen een origineel antwoord op de vragen die de film bij hen oproept…
\
Ze leggen ze inhoud, techniek en esthetiek van de film bloot op het podium aan de hand van nieuwe beelden, spoken word en live muziek op typisch Braziliaanse instrumenten als de viola caipira en violão de choro. Zo creëren ze een nieuwe theatraal universum waar moda (Braziliaans blues), palmbomen en koeien samenkomen op een manier die enkel kan ontspruiten aan de visuele vernuften van Seabra en Verstockt.
\
Ricky Seabra is een Braziliaans acteur die vaak in België werkt. Zijn voorstellingen zijn lecture-performances waaruit veel engagement spreekt zonder zwaar op de hand te worden. Ook in ‘Koyaanisqatsi – The Performance’ plukt Seabra gretig uit de moderne cultuur waarin reality tv, videoclips, photoshop en youtube alomtegenwoordig zijn… Als steeds is zijn voorstelling komisch en confronterend tegelijk.
\

\
    Blijf na de voorstelling op za 23.10 zitten voor een gratis nagesprek met Seabra & Verstockt.
\

\

\
    Er is voor deze voorstelling op vr 22 & za 23.10 ook een combiticket mogelijk met de voorstellingen van Naomi Kerkhove & Ruben Nachtergaele en Andrea Belfi & Mirco Santi.
\

\
Viola Caipira: een Braziliaanse gitaar met 10 snaren die meer dan 50 verschillende tunings heeft. Het woord caipira is afgeleid van hetzelfde woord waar caipirinha van afgeleid is en dat “boertje” of “boerinneke” betekent.
\
Violão de Choro: een gitaar met een extra 7e bassnaar (gestemd in A majeur) die gebruikt wordt voor Choro muziek. “Choro” betekent “huilen”. Dit is een lichte variant van Braziliaanse blues.
\
Moda is een Braziliaanse muziekstijl van het Braziliaanse Mid-Westen en de zeer droge Noord-Oostelijke sertão en caatinga regio’s van Brazilië. Dit is de echte Braziliaanse blues.","ihkv Almost Cinema / ism Filmfestival Gent
\
Ricky Seabra (creatie & spel), Dirk Verstockt (co-auteur & regie), muziek geschreven door Nelson Latif, Bosco de Oliveira, Daniel Miranda & Ricky Seabra en uitgevoerd door Nelson Latif and Daniel de Miranda 
\
Productie: Kaaitheater, Fomenta Produções (Rio de Janeiro) & Boris VZW
\
met steun van Vlaamse Gemeenschapscommissie van het Brussels Hoofdstedelijk Gewest -Education, Audiovisual and Culture Executive Agency (EU) and Casa da Glória (Rio de Janeiro).
\
www.rickyseabra.com",\N,2199,legacy-2314
Ontdekkingsdag Ricky Seabra & Dirk Verstockt,,Wat zijn de inspiratiebronnen en drijfveren van Ricky Seabra? Podiumprogrammeur Tom Bonte gaat na ‘Koyaanisqatsi – The performance’ met de theatermaker in gesprek en ook vragen uit het publiek zijn welkom.,"www.rickyseabra.com
\
ihkv Almost Cinema / ism Filmfestival Gent",\N,2201,legacy-2315
Naomi Kerkhove & Ruben Nachtergaele,White Out,"Oriëntatiepunt zoek.
\
Enkel de duisternis van het wit als de zwarte draad in een geborduurde wereld.
\
Bent u klaar om niet te zien?
\
Vergeet dan vooral uw eigen dimensie aan de deur,
\
In een wit universum waar u deelgenoot wordt.
\
Zoek opnieuw uw eigen coördinaten…
\
Breien is al een tijdje weer hip. Dankzij Naomi Kerkhove kan nu ook de naaimachine heropleven. Toen haar vrienden op café gingen, maar zij niet genoeg geld had om mee te gaan, hield ze zich maar wat onledig met haar naaimachine. ’s Avonds had ze een pak miniatuurkunstwerkjes gestikt en sindsdien is ze niet meer gestopt. Naomi tekent met naald en draad wonderbaarlijke werelden bijeen waarin het heerlijk verdwalen is. Bestaande uit niet meer dan zwarte draad geborduurd op een wit laken, tovert ze toch de meest kleurrijke plekken en personages tevoorschijn en bouwt ze een minifilmset op. Met een klein cameraatje neemt ze de toeschouwer mee op sleeptouw doorheen haar stoffen wereld. Muzikale duizendpoot Ruben Nachtergaele van o.a. Kapotski en de Boomfanfare zorgt voor een passende, filmische soundtrack.
\
White Out is een kleine, maar ongelooflijk charmante voorstelling voor jong en oud.
\

\
    Er is voor deze voorstelling op vr 22 & za 23.10 ook een combiticket mogelijk met de voorstellingen van Ricky Seabra en Andrea Belfi & Mirco Santi.
\","ihkv Almost Cinema / ism Filmfestival Gent
\
Naomi Kerkhove (concept & spel); Ruben Nachtergaele (geluidsontwerp & muziek), Naomi Kerkhove, Akim Hassani & Karel Clemminck (lichtontwerp), Rinus Samyn (video), Inge Kerfs, Bart Huybrechts & Naomi Kerkhove (vormgeving), Tom Vanderborght, Pieter De  Clercq, Noëmi Raquèt ,Sarah Geirnaert, Stephanie Helland, Ine, Reinout, Tiny, Ira & Lien (den draad)
\
coproductie Buda Kortrijk
\
http://whiteout.be",\N,2203,legacy-2316
De Koe,De wederopbouw van het Westen - WIT,"Cie. De Koe maakt de komende drie jaar een drieluik over het Westen: WIT, ROOD en ZWART. Het Westen?  Het Atlantische Westen? Het Avondland? In ieder geval het Westen, waarin en waarmee wij zijn opgegroeid. Het Westen zoals het ons tot westerling heeft gemaakt. In het eerste deel WIT willen Peter Van den Eede, Willem de Wolf en Natali Broods terug naar het – toen nog – ideologieloze witte Westen van hun jeugd. Maar hoe lang houden ze dat vol: de vertelling zonder dubbele bodem, zonder politieke agenda of verborgen kunstjargon. Kunnen ze het überhaupt nog wel: blanco?\
\
\
	Deze voorstelling zit in de 5 For Students top 5 van oktober van 5 For Students, het studententeam van Vooruit!","van Stefaan Van Brabandt, Natali Broods, Peter Van den Eede & Willem de Wolfmet Natali Broods, Peter Van den Eede & Willem de Wolf\
\
\
	www.dekoe.be",Theater,2205,legacy-2317
LOD / Kris Defoort & Dirk Roofthooft,The Brodsky Concerts,"Laaiend enthousiast is acteur Dirk Roofthooft over de Russische dichter Joseph Brodsky. Het idee om een voorstelling met zijn teksten in elkaar te boksen, rijpte dan ook al een tijdje. In pianist Kris Defoort vond Roofthooft de geknipte compagnon.\
\
\
	Nobelprijswinnaar Brodsky zag een gedicht als “een gesprek tussen de schrijver en zijn lezer, het met elkaar delen van twee eenzaamheden.” Roofthooft en Defoort werpen zich op als tussenfiguren tussen de dichter en het publiek: de acteur vertolkt de teksten met passie en emotie, Defoort legt in zijn muziek bloot wat tussen de regels verborgen zit. Brodsky’s poëzie getuigt namelijk van een uitzonderlijk gevoel voor melodie, klank en ritme. Roofthooft en Defoort laten zich leiden door zijn taal en zijn even benieuwd waar hun improvisaties hen zullen brengen als het publiek. Een ding is zeker: wanneer twee kwaliteitsartiesten als Roofthooft en Defoort zich gooien op oerdegelijk tekstmateriaal als dat van Brodsky kan het niet mis gaan.","Joseph Brodsky (tekst), Kris Defoort (compositie, piano), Dirk Roofthooft (tekstdramaturgie & spel), Jean-Marc Sullon (realisatie elektronische muziek) & An D’Huys (kostuums)\
\
\
	Productie: LODCoproductie: Grand Théâtre de Luxembourg, deSingel (Antwerpen) & Centre de Recherches et de Formation Musicales de Wallonie (Luik)\
\
\
	www.lod.be",Theater,2207,legacy-2319
Helse Tijden 2: Dure Woorden,Behoud de Begeerte,"Studenten kunnen deze literaire avond bijwonen via de actie Pay What You Want (let op: beperkte capaciteit).
\
Onder de provocatieve titel Dure Woorden presenteert Behoud de Begeerte in het Europese Jaar van de bestrijding van armoede en sociale uitsluiting daarom een geëngageerd literair programma met poëtische, confronterende, humoristische en krachtige woorden van professionele schrijvers, artiesten én mensen in armoede zelf. Het is de tweede productie in de reeks Helse Tijden, die uitgaat van het slot van Gerard Walschaps roman Tor: ‘De mens, ge kunt gij daar niet aan uit’. Onbegrijpelijk is immers dat dezelfde mens die in staat is naar de maan te vliegen en schapen te klonen, er niet in slaagt de stijgende armoede het hoofd te bieden.
\
Samenstellers van het artistieke tegengif tegen de Dure Woorden zijn onder anderen theatermaker Arne Sierens en roman- en toneelschrijver Erik Vlaminck. Vlaminck laat zijn – vaak dakloze – Dikke Freddy aan het woord, en zorgt er met vzw Recht-Op en het Antwerps Platform voor Generatiearmen (Apga) voor dat de niet-fictieve tegenhangers van zijn personage een stem krijgen: een videoprojectie toont het resultaat van een intensieve schrijfworkshop met enkele mensen in armoede. Ook de voormalige dakloze en crack-verslaafde Amerikaan Lee Stringer tekent present en zal voorlezen uit zijn alom bejubelde Aan de grond met verhalen van de straat. Walter van den Broeck, die al in zijn veelgeprezen doorbraakroman Brief aan Boudewijn het contrast hekelde tussen de rijkdom van de koning en de armoede van de arbeidersgezinnen in zijn geboortestreek, mocht evenmin ontbreken. De soundtrack van de avondvullende voorstelling wordt gemaakt door het percussiekwartet van Bl!ndman, dat voor de gelegenheid gevonden objecten gebruikt, en door Reinhilde Decleirs sociaal-artistieke werkplaats Tutti Fratelli, met nummers van de Antwerpse volkszanger Wannes Van de Velde en de maatschappijkritische Bertolt Brecht. Jos Geysels, die als voorzitter van Decenniumdoelen 2017 vertrouwd is met de armoedeproblematiek, leidt het geheel in goede banen.
\
De sociaal-culturele beweging tegen armoede Welzijnszorg, het kenniscentrum voor participatie en democratie Demos, en de verschillende betrokken lokale organisaties met een kansarmoedewerking staan elk vanuit hun expertise garant voor de correcte beeldvorming. Daarnaast zorgen ze er via hun uitgebreide netwerk voor dat deze Dure Woorden door iedereen gehoord kunnen worden.",www.begeerte.be,Debat / Gesprek,2209,legacy-2320
John Scofield Trio,,"“dit is jazz van de zuiverste soort: dynamiek, rivaliteit en dialoog tussen de drie muzikanten die hun muziekgeschiedenis in een optreden leggen” (Kwadratuur)\
\
\
	John Scofield kan prat gaan op een waanzinnig curriculum: hij speelde met Joe Henderson, Charles Mingus, Herbie Hancock, Mavis Staples, Medeski Martin & Wood, Brad Mehldau, …  maar het allerbekendst is hij als gitarist van de legendarische Miles Davis. Scofield behoort tot “de grote drie hedendaagse jazzgitaristen”, naast Pat Metheny en Bill Frisell. Hij wordt geprezen om zijn gitaartechniek en zijn fusion tussen jazz, funk en rock. Maar ondanks zijn sterrenstatus stelt Scofield zich nog steeds leergierig op en zoekt hij uitdagingen op in verrassende combinaties en samenwerkingen met jonge muzikanten.\
\
\
	In zijn John Scofield Trio lijfde hij drummer en jonge snaak Bill Stewart en bassist en ervaren rot Steve Swallow in. “There is no other man like him in music,” zei Scofield over Swallow, die op zijn bas zo behendig kan soleren als een gitarist en zo ritmisch uit de hoek kan komen als een drummer. Over Stewart vindt Scofield: “I think he’s playing as good as any drummer in the history of jazz”.\
\
\
	Het trio neemt jazz als vertrekpunt, maar maakt vlot de oversteek naar rock, soul, up-tempo swing en New Orleans-grooves. Hun album ‘EnRoute’ uit 2004 – live opgenomen in de New Yorkse Blue Note-club – vangt de ruwe energie die op het podium tussen de drie muzikanten stroomt. Moderne jazz en impro van het hoogste niveau.","John Scofield (gitaar), Bill Stewart (drums) & Steve Swallow (bas)\
\
\
	www.johnscofield.comwww.myspace.com/officialjohnscofield\
\
\
	ihkv Skoda Jazz",Concert,2211,legacy-2321
Kris Verdonck / A Two Dogs Company,"K, a society","“Verdonck is een meester in het scheppen van beelden. Mooie scènes creëren is, volgens mij, ongetwijfeld zijn grootste talent.”
\
(Vooruitbezoek Marlies op www.vooruit.be over ‘End’, een vroegere voorstelling van Kris Verdonck)
\
Kris Verdonck, een van de Vlaamse theatermakers die momenteel internationaal aan het doorbreken is, maakt nooit zomaar een voorstelling. In ‘I/II/III/IIII’ hing hij vier danseressen in een carrousel, in ‘End’ kregen acteurs machines als tegenspelers, in ‘Actor #1’ werd het publiek langs drie technisch vernuftige en tot de verbeelding sprekende installaties geleid: een bassin met wolken, een dansende drilboor met een eigen wil, een sprekend hologram…. In zijn nieuwste voorstelling gaat Verdonck nóg verder in zijn onderzoek naar de verhoudingen tussen mens en machine, tussen leven en dode materie. ‘K, a society’ is Verdoncks meest grootschalige project tot nu toe. Op vraag van het befaamde Duitse Theater der Welt creëert hij tien installaties in een oude mijnsite in het Ruhrgebied. Daarna zullen ze ook in Vooruit te zien zijn.
\
Doorheen het hele Vooruitgebouw zullen Verdonck en zijn nieuwe gezelschap A Two Dogs Company tien installaties opstellen: een verdrinkende zakenman met zijn aktetas als reddingsboei, zwevende figuren, een muur van gezichten die roddels spuien, ... De gids die de toeschouwers rondleidt is het enige levende personage. Verdoncks installatieparcours baadt in de sfeer van Franz Kafka’s roman ‘Het Proces’ waarin Joseph K om onduidelijke redenen wordt opgepakt en terechtkomt in een ondoordringbaar kluwen van administratie en bureaucratie.
\
Deze voorstelling zit in de 5 For Students top 5 van oktober van 5 For Students, het studententeam van Vooruit!
\
 ","coproductie van Vooruit
\
In het kader van Transdigital ",\N,2213,legacy-2322
Philippe Quesne / Vivarium Studio,Big Bang,"2009 was hét jaar van Philippe Quesne. Niet alleen trokken alle grote Europese theaterzalen aan zijn mouw om bij hen te komen spelen, ook het publiek en de pers wisten zijn voorstellingen te smaken. Zo schreef bezoekster Ellen na Quesnes ‘La mélancolie des dragons’ uit 2009 op www.vooruit.be: “Zowat het beste dat ik ooit in Vooruit zag” en noemde VRT het “een meesterlijk stuk”.
\
Voor zijn nieuwe voorstelling vertrekt Quesne als altijd van een titel, en dat is deze keer ‘Big Bang’ geworden. Wat Quesne en zijn Vivarium Studio met die titel precies zullen aanvangen, blijft een verrassing. In elk geval doet ‘Big Bang’ hen denken aan een gigantische explosie, een®evolutionaire theorie of een grappige klanknabootsing in een stripverhaal. Maar ook aan een eiland, oermensen, een nieuw begin, een microkosmos van mislukkelingen die de wereld willen herscheppen… ‘Big Bang’ zal zich ontvouwen als een evolutie, getekend door radicale breuken, uitvindingen, verdwijningen en mutaties in een tijd en plaats waar mensen en dieren samenleven, de stilte en de taal naast elkaar staan, alles en niets samenkomt…
\
Deze voorstelling zit in de 5 For Students top 5 van oktober van 5 For Students, het studententeam van Vooruit!
\
 ","coproductie van Vooruit / Belgische première
\
Philippe Quesne (concept & regie), Isabelle Angotti, Rodolphe Auté, Jung-Ae Kim, Émilien Tessier, César Vayssié, Gaëtan Vourc’h
\
Productie: Vivarium Studio
\
Coproductie: La Ménagerie de Verre (Parijs), Hebbel am Ufer (Berlijn), Festival d’Avignon, Kunstencentrum Vooruit (Gent), Internationales Sommerfestival Hamburg, Les Spectacles vivants – Centre Pompidou (Parijs), Théâtre de l’Agora Scène nationale d’Evry et de l’Essonne, NXTSTP (met steun van Programme Culture de l’Union Européenne): Festival Baltoscandal (Rakvere), Rotterdamse Schouwburg.
\
Yvan Clédat, Cyril Gomez-Mathieu (artistieke en technische ondersteuning)
\
Aki Onda, Flowers from the man who shot your cousin, André Prévin, Aphex Twin, Elmer Bernstein, Armando Trovaioli, REQ, Howe Gelb,… (muziekfragmenten)
\
met de steun van la Région Ile-de-France en CENTQUATRE. La compagnie Vivarium Studio est conventionnée par la DRAC Île-de-France, Ministère de la Culture.
\
Met de steun van CULTURESFRANCE
\
Dank aan Coco Petitpierre, Philippe Granier, Samuel Gutman, Emilie Rousset
\
http://www.vivariumstudio.net",Theater,2215,legacy-2324
Ontdekkingsdag Philippe Quesne,,Wat zijn de inspiratiebronnen en drijfveren van Philippe Quesne? Podiumprogrammeur Tom Bonte gaat na ‘Big Bang’ met de theatermaker in gesprek en ook vragen uit het publiek zijn welkom.,www.vivariumstudio.net,Theater,2217,legacy-2325
Mâäk & Albert Anagoko Ensemble - Kojo / Neil Cowley Trio,,"MÂÄK & ALBERT ANAGOKO ENSEMBLE - KOJO
\
Mâäk laat zich graag inspireren door muziek uit verre oorden. Zo zochten ze eerder muzikanten op uit Marokko, Zuid-Afrika en Mali om boeiende samenwerkingen op te zetten. Gefascineerd door zogenaamde ‘bezweringsmuziek’ – transcendentale muziek met therapeutische effecten – trok het gezelschap deze keer naar het Afrikaanse land Benin. Samen met percussiegrootmeester Albert Anagoko en een aantal lokale muzikanten werkt Mâäk het project uit dat traditie en improvisatie met elkaar in dialoog laten gaan. ‘Kojo Midokpo’ betekent “allen samen verenigd” in de taal van het Fonvolk. Mâäk treedt aan in een bijzondere bezetting – enkel blazers, en niet de minste: naast het Franse wonderkind Guillaume Orti en de Vlaamse Coltrane Jeroen Van Herzeele op sax, horen we ook Michel Massot (Rêve d’éléphant, trio Grande, Tuur Floorizone,…) op tuba en Laurent Blondiau – de spilfiguur van Mâäk – op trompet. Het publiek wordt ook getrakteerd op een korte documentaire over de reis van Mâäk naar Benin en hun ontmoetingen met plaatselijke muzikanten.
\
Dit project werd eeder aangekondigd met de titels ‘Vodun’ en ‘Kojo Midokpo’
\
NEIL COWLEY TRIO
\
“Jazz for Radiohead fans”, zo wordt het Neil Cowley Trio omschreven in de pers. Zelf houden ze het op “muziek voor het hart en de voeten”. In thuisland Engeland is het trio al een tijdje erg hot: in 2007 wonnen ze de BBC Jazz Award voor het beste album, in 2008 belandde hun cd in de lijst van 50 beste albums van muziekmagazine MOJO: “een van de meest verfrissende en hartverwarmende platen van het jaar. Het overstijgt alle genres. Een moderne klassieker.” In 2010 laten ze hun nieuwe langspeler ‘Radio Silence’ op de wereld los, die het perfecte evenwicht vindt tussen elegante poëzie , levendige riffs en lichtvoetige melodieën.
\

\
    Er is voor dit concert een combiticket mogelijk met het concert van Iva Bittová & Vladimir Václavek / Badenhorst – Ploug – Pettersen / Liesa Van der Aa op vr 26.11.
\","line-up
\
19:30 deuren
\
20:00-20:30 docu (in Balzaal)
\
20:40-21:50 Mâäk & Albert Anangoko Ensemble – Kojo (Domzaal)
\
22:00-23:00 Neil Cowley Trio (Balzaal)
\
Coproductie Nefertiti asbl en WCC Zuiderpershuis met Laurent Blondiau (trompet ), Guillaume Orti (altsax), Jeroen Van Herzeele (tenorsax), Michel Massot (tuba & trombone), Albert Anangoko & 6 Beninese muzikanten (percussie & zang) / 
\
Neil Cowley (piano & composities), Evan Jenkins (drums) & Richard Sadler (bas)
\
www.maaksspirit.be
\
www.myspace.com/maaksspirit
\
www.neilcowleytrio.com
\
www.myspace.com/neilcowleytrio",Concert,2219,legacy-2326
Iva Bittová & Vladimir Václavek / Equilibrium (Badenhorst – Ploug – Pettersen) / Liesa Van der Aa,,"LIESA VAN DER AA\
\
\
	Theaterzaal\
\
\
	“Een artieste om in het oog te houden,” schreef De Morgen over Liesa Van der Aa na haar passage in Vooruit als support van The Go Find. Met niet meer dan een viool, haar stem en een loopstation maakt dit opkomend talent straffe alternatieve pop met weerhaakjes.\
\
\
	IVA BITTOVÁ & VLADIMIR VÁCLAVEK\
\
\
	Theaterzaal\
\
\
	Een van de concerten die in het Vooruit-geheugen staan gegrift, is dat van violiste en stemkunstenares Iva Bittová en gitarist Vladimir Václavek in 1999. Beide muzikanten maken songs op het snijpunt van folk en pop, met de aanstekelijke stem van Bittová als spil. Een concert van Bittová en Václavek is telkens een buitengewone belevenis.“In Gent bewees het duo dat je met eenvoudige middelen en een ongebreidelde dosis lef en fantasie soms veel verder komt dan met allerlei technologische hoogstandjes. (…) Ook al werd je door de muziek soms tot tranen toe bewogen, globaal genomen zorgden Bittová en Václavek voor een avond hoogwaardig entertainment, die in de volgelopen Theaterzaal van Vooruit op een staande ovatie werd onthaald. Een bewijs dat er voor eerlijke, akoestische muziek zonder artificiële gimmicks nog altijd een toekomst is weggelegd.” (De Morgen)\
\
\
	EQUILIBRIUM (BADENHORST – PLOUG – PETTERSEN)\
\
\
	Balzaal\
\
\
	Dit internationale trio bestaat uit drie musici die houden van een loepzuivere eenvoudige melodie. Hun muziek is romantisch en minimalistisch, maar heeft ook een onverklaarbare hypnotische aantrekkingskracht. Geduldige en hartstochtelijke muziek om je volledig in te verliezen. Deze muzikanten combineren hedendaagse kamermuziek, elektronica en jazz. Zangeres Pettersen inspireert zich bovendien op een veelheid van vocale folktradities die gaan van keelzangen van de Inuit, Noorse volksliederen tot de griots van West-Afrika. Luister op www.myspace.com/mikkelplougsisselverapettersen.\
\
\
	“This young European chamber collective […] creates a stark yet delicate and sensuous music of great originality and elegance” (downtownmusicgallery.com)\
\
\
\
\
	\
	Er is voor dit concert een combiticket mogelijk met het concert van Mâäk & Albert Anangoko Ensemble – Kojo / Neil Cowley Trio op do 25.11.\
	\
\
\
	Deze voorstelling zit in de 5 For Students top 5 van oktober van 5 For Students, het studententeam van Vooruit!","line-up\
\
\
	20:00-20:30 Liesa Van der Aa (Theaterzaal)20:35-21:45 Iva Bittová & Vladimir Václavek (Theaterzaal)21:45-22:00 pauze22:00-23:00 Equilibrium (Balzaal)\
\
\
	Iva Bittová (viool & zang) & Vladimir Václavek (gitaar) / Mikkel Ploug (gitaren), Sissel Vera Pettersen (zang, sax & live elektronica) & Joachim Badenhorst (klarinet & sax) / Liesa Van der Aa (viool & zang)\
\
\
	www.bittova.comwww.myspace.com/ivabittovadvdwww.myspace.com/vvaclavekwww.myspace.com/mikkelplougsisselverapettersenwww.myspace.com/joachimbadenhorstwww.mikkelploug.comwww.sisselvera.comwww.myspace.com/liesavanderaa",Concert,2221,legacy-2327
Katja Dreyer,Ueberflieger,"Flying is a privilege
\
one sits on a throne
\
just one level beneath god
\
He packed a small suitcase,
\
He took a satchel with maps,
\
a sleeping bag,
\
15 quarts of engine oil, 
\
a life vest,
\
motorcycle crash helmet.
\
27 mei 1987: de amper 19-jarige Mathias Rust landt in volle Koude Oorlog met een klein vliegtuigje op het Rode Plein in Moskou. Als een stalen vredesduif vloog hij over het IJzeren Gordijn in de hoop de kloof tussen Oost en West te dichten. Was het een heroïsche daad of een onverantwoorde en gevaarlijke zet? Het leverde Rust in elk geval een paar jaar strafkamp op. Twee jaar later viel de Muur en werden Oost- en West-Duitsland opnieuw één. Heeft de onstuimige actie van Rust daar dan toch iets toe bijgedragen?
\
Katja Dreyer stond eerder al in Vooruit als actrice in ‘While we were holding it together’ van Ivana Müller. ‘Ueberflieger’ is haar eerste eigen productie. Het wordt een lecture-performance waarin Dreyer zich het verhaal van Mathias Rust toe-eigent en er een persoonlijke toets aan geeft. De geschiedenis, het collectieve geheugen en gekleurde herinneringen lopen in elkaar over.
\

\
    Er is voor deze voorstelling op vr 26 & za 27.10 ook een combiticket mogelijk met de voorstelling van Antonia Baehr.
\","Katja Dreyer (concept & spel), Gemma Higginbotham (spel), Tom Bruwier (lichtontwerp & techniek), An Breugelmans (kostuums & creatie vlag), Bill Aitchinson (advies), Jan Dellaert (camera), Effi Weiss (montage)
\
Met dank aan Jean Van Bruysteghem voor het gebruik van de Cessna
\
Productie: kc nOna, Coproductie: Beursschouwburg
\
ism: STUK, Pianofabriek 
\
Met de steun van de Vlaamse Gemeenschap, de Vlaamse Gemeenschapscommissie",Theater,2223,legacy-2328
Antonia Baehr,For Faces,"Dat Antonia Baehr niet veel nodig heeft om de zaal op haar hand te krijgen, bewees ze vorig jaar met ‘Lachen’, goed voor vier sterren in De Morgen. De Duitse theatermaakster bracht er haar ‘lachcomposities’ ten berde en binnen de kortste keren lag de zaal in een breuk. Nochtans is het Baehr niet zozeer om de humor te doen, wel bestudeert ze de lach in termen van klank, ritme, volume en beweging. In ‘For Faces’ houdt ze het niet bij de lach, maar betrekt ze ook andere emoties in haar onderzoek. Deze keer staat Baehr trouwens niet zelf op het podium, maar neemt ze plaats in de regiestoel. In een mini-amfitheater ter grootte van een menselijk hoofd vertolken vier performers de ‘gezichtspartituren’ van Antonia Baehr. Het publiek zit hen op de huid en ziet hun gelaatstrekken van heel dichtbij: gespannen lippen, knipperende ogen, opgetrokken wenkbrauwen, bewegende neusvleugels. Meer dan een vorm van expressie of communicatie, vormen de transformerende gezichtsuitdrukkingen een subtiele en merkwaardige choreografie…
\
Enkele citaten die Antonia inspireerden:
\
”The landscape has its formation and as after all a play has to have formation and be in relation one thing to the other thing and as the story is not the thing as any one is always telling something then the landscape not moving but being always in relation, the trees to the hills to the fields the trees to each other any piece of it to any sky and then any detail to any other detail. (...) Anyway the play as I see it is exciting and it moves but it also stays and that is (...) that might be what a play should do.“ – Gertrude Stein in ‘Plays’
\
”Baehr’s choreography of emotions inverts the drama of mimesis and catharsis: it replaces the dramatic textbook by a score, the credible representation of characters by a set of recognizable effector patterns and psychological identification by the kinaesthetic effects of corporeal sensations. It articulates emotions not only as a repetitive series of movements and sensations that contaminate the audience kinaesthetically, but also as sympathetically different bodies…”  – Petra Sabisch in “Choreographing Relations”
\

\
    Er is voor deze voorstelling op vr 26 & za 27.10 ook een combiticket mogelijk met de voorstelling van Katja Dreyer.
\",Coproductie van Vooruit en het Europees podiumnetwerk WEB 1.5,\N,2225,legacy-2329
Ontdekkingsdag Antonia Baehr,GEANNULEERD,Wat zijn de inspiratiebronnen en drijfveren van Antonia Baehr? Podiumprogrammeur Tom Bonte gaat na ‘For Faces’ met de theatermaker in gesprek en ook vragen uit het publiek zijn welkom.,,\N,2227,legacy-2330
RadioKUKAorkest & Ellery Eskelin,,"\
“Muziek voor ernstige lieden? Jazeker, maar dan het soort dat ook van tekenfilmgags, achtervolgingen en Monty Python houdt.”
\
(Focus Knack)
\
Met hun intimistische en ietwat baldadige huisstijl is RadioKUKAorkest een kamerjazzensemble du jamais vu. De New Yorkse tenorsaxofonist Ellery Eskelin behoort tot de beste hedendaagse improvisatoren. Een ontmoeting tussen beiden kan dus wel eens héél erg bijzonder uitpakken.
\
De typische KUKA-muziek is niet in vakjes te vangen, maar is een schoolvoorbeeld van de hedendaagse wens om genres te combineren. Wereldmuziek, klassiek en pop worden samengesmeed tot aanstekelijke ritmes en onvermoede, nieuwe klankwerelden. En dit is wat muzieksite Kwadratuur over saxofonist Ellery Eskelin wist te zeggen: 
\
“Klasseer deze saxofonist gerust onder de grote kunstenaars van onze tijd. Wat Picasso deed met schilderen is in wezen niet anders dan wat Eskelin doet met muziek. Afbreken en terug opbouwen tot een op het eerste gezicht niet normale compositie die verbluffend mooi is. Door de jaren heen heeft Eskelin een ijzersterke individuele stijl ontwikkeld.”","Dit concert is in de Balzaal ipv de Domzaal
\
Kristof Roseeuw (contrabas), Tom Wouters (klarinet & drums), Lode Vercampt (cello), Philippe Thuriot (accordeon) & Ellery Eskelin (sax)
\
coproductie van Vooruit / première
\
www.myspace.com/radiokukaorkest
\
http://home.earthlink.net/~eskelin
\
www.myspace.com/elleryeskelin
\
ism JazzLab Series",Concert,2229,legacy-2331
